name	val_loss	val_mse_ref	composite	composite_north	gap_ratio	best_epoch	epochs	wall	params	r_peak_x	r_centroid	r_overlap80	r_array_share	r_integral	rn_peak_x	rn_centroid	rn_overlap80	rn_array_share	rn_integral
long1000_seed0	0.00011635	0.00011635	0.569536	0.639015	0.991012	105	206	1614.4	2945089	0	0.738898	0.992669	0.1813	0.791223	0	0.804492	0.950396	0.322694	0.675815
seed0	0.000128381	0.000128381	0.547328	0.664589	0.947613	60	111	1133.4	2945089	0	0.623536	0.880513	0.191524	0.853437	0	0.699353	0.902803	0.360241	0.85769
seed1	0.00011718	0.00011718	0.487723	0.572791	0.986601	90	141	1288	2945089	0	0.543098	0.882715	0.160253	0.736529	0	0.584064	0.901426	0.341339	0.598975
seed2	0.000116958	0.000116958	0.489286	0.53379	0.991842	90	141	1288.2	2945089	0	0.555801	0.881825	0.169471	0.690003	0	0.630486	0.885628	0.271681	0.535177
seed3	0.000116906	0.000116906	0.474812	0.539003	1.00299	95	146	1399.7	2945089	0	0.639496	0.872484	0.128955	0.706405	0	0.605673	0.886232	0.331961	0.473689
seed4	0.000116995	0.000116995	0.565456	0.580146	1.027	120	171	1527	2945089	0	0.776072	1.03598	0.155458	0.817955	0	0.7145	0.903546	0.287495	0.610333
