name	val_loss	val_mse_ref	composite	composite_north	gap_ratio	best_epoch	epochs	wall	params	r_peak_x	r_centroid	r_overlap80	r_array_share	r_integral	rn_peak_x	rn_centroid	rn_overlap80	rn_array_share	rn_integral
smoke60	0.000131774	0.000131774	0.516317	0.613258	0.989743	59	60	336.7	2945089	0	0.597997	0.901448	0.154438	0.853632	0	0.618595	0.91653	0.310881	0.802463
v_s0.1_seed0	0.000121641	0.000121641	0.523528	0.543372	1.05226	105	156	1785	2945089	0	0.55254	0.900692	0.184819	0.816719	0	0.555546	0.911359	0.303903	0.566559
v_s0.1_seed1	0.000122677	0.000122677	0.512002	0.555026	1.03445	90	141	1670.7	2945089	0	0.581241	0.899084	0.161646	0.813515	0	0.570926	0.899797	0.33955	0.544032
v_s0.3	0.000124848	0.000124848	0.512223	0.55141	1.09533	110	161	1811.7	2945089	0	0.619594	0.891903	0.162544	0.766373	0	0.605497	0.907365	0.277443	0.606499
x_s0.1	0.000126524	0.000126524	0.461927	0.553498	1.11857	125	176	1849.9	2945089	0	0.517818	0.90702	0.134248	0.722086	0	0.537857	0.883446	0.351569	0.561834
