number	state	value	best_epoch	composite	composite_north	epochs_run	gap_ratio	n_params	p_batch	p_depth	p_dropout	p_film_hidden	p_local	p_lr	p_modes	p_wd	p_width	peak_vram_gb	r_array_share	r_centroid	r_integral	r_overlap80	r_peak_x	rn_array_share	rn_centroid	rn_integral	rn_overlap80	rn_peak_x	seconds	val_loss	val_mse_ref	wall_s
23	COMPLETE	0.000118678	43	0.60945	0.641492	69	1.07401	37888993	8	4	0.0745063	128	conv3x3	0.000200639	32	0.000545628	48	3.11291	0.217874	0.769646	0.898349	0.915821	0	0.346291	0.721372	0.741761	0.913902	0	547.171	0.000118678	0.000118678	546.5
24	PRUNED	0.000150175							32	5	0.224451	128	conv3x3	0.000380226	32	0.0094008	24												92.9405			
25	COMPLETE	0.000117991	64	0.544754	0.674132	90	1.11244	37888993	8	4	0.142214	128	conv3x3	0.00022631	32	0.0356364	48	3.95564	0.178289	0.665506	0.755345	0.982605	0	0.360129	0.754833	0.760026	0.999639	0	704.38	0.000117991	0.000117991	703.8
26	PRUNED	0.000134941							32	3	0.164558	128	conv3x3	0.00078668	32	0.0665355	16												41.9032			
27	PRUNED	0.000132775							8	3	0.22008	128	conv3x3	0.000224152	32	0.070112	32												79.3367			
28	PRUNED	0.00014001							8	5	0.245346	128	conv3x3	0.000255682	32	0.00598295	16												50.8032			
29	COMPLETE	0.000117592	78	0.583696	0.68298	104	1.09198	37851457	32	4	0.146767	32	conv3x3	0.000740337	32	0.0233616	48	3.441	0.150984	0.690972	0.997449	1.11549	0	0.37267	0.715727	0.799652	1.02014	0	856.365	0.000117592	0.000117592	855.8
30	COMPLETE	0.000118619	84	0.60364	0.709886	110	1.075	9512641	32	4	0.100785	128	conv3x3	0.000432884	24	0.0188779	32	3.11291	0.188863	0.728093	0.90796	1.06343	0	0.398856	0.839791	0.690294	1.09833	0	526.193	0.000118619	0.000118619	525.6
31	COMPLETE	0.000118228	49	0.639135	0.677516	75	1.0583	9468721	8	4	0.12702	128	conv1x1	0.00082601	32	0.0915522	24	3.95564	0.186508	0.693423	1.03665	1.24464	0	0.294349	0.724897	0.776307	1.27205	0	230.824	0.000118228	0.000118228	230.2
32	COMPLETE	0.000117133	78	0.544089	0.713115	104	1.0182	37851457	8	4	0.286874	32	conv3x3	0.000203166	32	0.0527533	48	3.11291	0.188103	0.693192	0.739463	0.908895	0	0.416169	0.843258	0.820657	0.897934	0	805.795	0.000117133	0.000117133	805.3
